Material;WertBB;EinheitWert;MengeBB;EinheitMengeBB;MengeKB;EinheitMengeKB
116602;0,00;EUR;0;ST;0;ST
116603;0,00;EUR;0;ST;0;ST
116604;0,00;EUR;0;ST;0;ST
117981;1.848,43;EUR;28.030;ST;0;ST
117982;749,39;EUR;12.461;ST;0;ST
118407;0,00;EUR;0;ST;0;ST
118408;0,00;EUR;0;ST;0;ST
118409;0,00;EUR;0;ST;0;ST
119495;683,44;EUR;2.948;ST;0;ST
119496;2.156,95;EUR;11.237;ST;0;ST
121004;0,00;EUR;0;ST;0;ST
121005;0,00;EUR;0;ST;0;ST
121624;0,00;EUR;0;ST;0;ST
122548;2.067,85;EUR;30.090;ST;0;ST
122893;301,40;EUR;856;ST;0;ST
123450;0,00;EUR;0;ST;0;ST
123761;0,00;EUR;0;ST;0;ST
124063;1.379,63;EUR;8.680;ST;0;ST
124064;626,82;EUR;3.928;ST;0;ST
124082;0,00;EUR;0;ST;0;ST
124235;0,00;EUR;0;ST;0;ST
124286;1.294,27;EUR;2.410;ST;0;ST
124287;0,00;EUR;0;ST;0;ST
124676;1.242,80;EUR;1.280;ST;0;ST
124704;0,00;EUR;0;ST;0;ST
125355;73,84;EUR;238;ST;0;ST
125357;0,00;EUR;0;ST;0;ST
125386;262,55;EUR;314;ST;0;ST
125387;485,64;EUR;420;ST;0;ST
125388;0,00;EUR;0;ST;0;ST
125489;0,00;EUR;0;ST;0;ST
125494;0,00;EUR;0;ST;0;ST
125566;576,55;EUR;512;ST;0;ST
125662;0,00;EUR;0;ST;0;ST
125814;0,00;EUR;0;ST;0;ST
125817;0,00;EUR;0;ST;0;ST
125818;0,00;EUR;0;ST;0;ST
127606;3.800,46;EUR;1.930;ST;0;ST
129828;0,00;EUR;0;ST;0;ST
129829;0,00;EUR;0;ST;0;ST
130469;1.464,98;EUR;8.780;ST;0;ST
130470;1.498,85;EUR;7.056;ST;0;ST
130861;5.595,38;EUR;50.615;ST;0;ST
139866;0,00;EUR;0;ST;0;ST
140125;0,00;EUR;0;ST;0;ST
140281;0,00;EUR;0;ST;0;ST
140402;1.194,67;EUR;11.955;ST;0;ST
140964;0,00;EUR;0;ST;0;ST
140965;0,00;EUR;0;ST;0;ST
141068;507,65;EUR;6.613;ST;0;ST
141069;229,73;EUR;1.986;ST;0;ST
141080;1.256,92;EUR;3.717;ST;0;ST
141081;1.034,16;EUR;6.236;ST;0;ST
143322;0,00;EUR;0;ST;0;ST
143323;18,33;EUR;40;ST;0;ST
143324;1.061,48;EUR;2.384;ST;0;ST
143325;314,73;EUR;443;ST;0;ST
143326;5.771,64;EUR;7.032;ST;0;ST
143327;280,17;EUR;3.400;ST;0;ST
143328;209,52;EUR;250;ST;0;ST
143329;5.493,51;EUR;6.251;ST;0;ST
143330;0,00;EUR;0;ST;0;ST
143332;528,65;EUR;3.062;ST;0;ST
143333;1.501,14;EUR;2.517;ST;0;ST
143334;1.487,44;EUR;1.410;ST;0;ST
143335;428,34;EUR;2.399;ST;0;ST
143336;1.865,83;EUR;3.532;ST;0;ST
143337;222,14;EUR;1.000;ST;0;ST
143338;1.699,44;EUR;3.000;ST;0;ST
143339;0,00;EUR;0;ST;0;ST
144370;980,67;EUR;600;ST;0;ST
145187;0,00;EUR;0;ST;0;ST
145190;1.386,16;EUR;2.120;ST;0;ST
145191;1.032,69;EUR;3.064;ST;0;ST
145194;3.690,11;EUR;3.627;ST;0;ST
145195;1.402,20;EUR;3.360;ST;0;ST
145196;845,10;EUR;400;ST;0;ST
145197;753,12;EUR;840;ST;0;ST
145198;4.856,58;EUR;214;ST;0;ST
145222;1.313,51;EUR;5.113;ST;0;ST
152109;453,45;EUR;1.928;ST;0;ST
152852;0,00;EUR;0;ST;0;ST
153656;0,00;EUR;0;ST;0;ST
153658;0,00;EUR;0;ST;0;ST
153659;0,00;EUR;0;ST;0;ST
153660;212,41;EUR;59;ST;0;ST
153661;0,00;EUR;0;ST;0;ST
153662;0,00;EUR;0;ST;0;ST
153664;0,00;EUR;0;ST;0;ST
153665;0,00;EUR;0;ST;0;ST
153666;645,51;EUR;176;ST;0;ST
153667;0,00;EUR;0;ST;0;ST
153668;0,00;EUR;0;ST;0;ST
153669;0,00;EUR;0;ST;0;ST
153670;363,24;EUR;99;ST;0;ST
153671;0,00;EUR;0;ST;0;ST
153672;0,00;EUR;0;ST;0;ST
153673;183,45;EUR;50;ST;0;ST
153674;0,00;EUR;0;ST;0;ST
153675;0,00;EUR;0;ST;0;ST
153676;143,08;EUR;39;ST;0;ST
153677;374,12;EUR;102;ST;0;ST
153678;0,00;EUR;0;ST;0;ST
153913;65,87;EUR;8;ST;0;ST
155116;87,62;EUR;1.882;ST;0;ST
155117;0,00;EUR;0;ST;0;ST
155118;0,00;EUR;0;ST;0;ST
155478;0,00;EUR;0;ST;0;ST
156453;1.774,12;EUR;108;ST;0;ST
157134;0,00;EUR;0;ST;0;ST
157136;0,72;EUR;1;ST;0;ST
159176;0,00;EUR;0;ST;0;ST
159344;0,00;EUR;0;ST;0;ST
159535;0,00;EUR;0;ST;0;ST
159537;9,57;EUR;25;ST;0;ST
160922;770,48;EUR;11.347;ST;0;ST
160923;0,00;EUR;0;ST;0;ST
160924;2.153,73;EUR;6.638;ST;0;ST
160925;870,67;EUR;9.350;ST;0;ST
160926;0,00;EUR;0;ST;0;ST
160927;1.259,27;EUR;2.275;ST;0;ST
161291;0,00;EUR;0;ST;0;ST
161427;1.102,06;EUR;1.102;ST;0;ST
161428;0,00;EUR;0;ST;0;ST
162612;0,00;EUR;0;ST;0;ST
162613;15,03;EUR;53;ST;0;ST
162614;31,12;EUR;106;ST;0;ST
165821;1.091,32;EUR;6.541;ST;0;ST
165822;0,00;EUR;0;ST;0;ST
165823;1.214,82;EUR;2.205;ST;0;ST
165824;893,25;EUR;5.323;ST;0;ST
165825;0,00;EUR;0;ST;0;ST
165826;2.311,32;EUR;4.144;ST;0;ST
165827;1.202,83;EUR;7.497;ST;0;ST
165828;0,00;EUR;0;ST;0;ST
165829;219,81;EUR;579;ST;0;ST
166515;1.332,90;EUR;3.920;ST;0;ST
166909;0,00;EUR;0;ST;0;ST
166974;807,07;EUR;11.719;ST;0;ST
166975;1.309,76;EUR;8.546;ST;0;ST
166976;0,00;EUR;0;ST;0;ST
166977;2.134,51;EUR;3.920;ST;0;ST
166978;1.306,39;EUR;6.895;ST;0;ST
166979;0,00;EUR;0;ST;0;ST
166980;1.052,31;EUR;1.406;ST;0;ST
166981;630,85;EUR;10.323;ST;0;ST
166982;967,30;EUR;5.602;ST;0;ST
166983;0,00;EUR;0;ST;0;ST
166984;1.479,89;EUR;7.887;ST;0;ST
166985;0,00;EUR;0;ST;0;ST
167457;268,08;EUR;825;ST;0;ST
167602;390,99;EUR;140;ST;0;ST
168084;121,06;EUR;33;ST;0;ST
168431;24,16;EUR;63;ST;0;ST
168586;141,23;EUR;2.632;ST;0;ST
168712;6.526,59;EUR;3.797;ST;0;ST
168713;917,75;EUR;6.481;ST;0;ST
170269;0,00;EUR;0;ST;0;ST
171577;0,00;EUR;0;ST;0;ST
171578;0,00;EUR;0;ST;0;ST
171579;5.032,56;EUR;13.395;ST;0;ST
172681;12.192,09;EUR;19.948;ST;0;ST
173550;146,67;EUR;2.400;ST;0;ST
175345;994,67;EUR;464;ST;0;ST
175382;168,58;EUR;169;ST;0;ST
175550;0,00;EUR;0;ST;0;ST
175551;338,32;EUR;1.018;ST;0;ST
176099;0,00;EUR;0;ST;0;ST
176472;0,00;EUR;0;ST;0;ST
178921;153,92;EUR;42;ST;0;ST
179203;0,00;EUR;0;ST;0;ST
179204;0,00;EUR;0;ST;0;ST
179205;0,00;EUR;0;ST;0;ST
179613;793,28;EUR;638;ST;0;ST
179614;0,00;EUR;0;ST;0;ST
179615;0,00;EUR;0;ST;0;ST
180366;1.108,98;EUR;5.630;ST;0;ST
180578;0,00;EUR;0;ST;0;ST
182018;529,39;EUR;2.772;ST;0;ST
182356;2.291,64;EUR;5.926;ST;0;ST
182357;0,00;EUR;0;ST;0;ST
186009;755,94;EUR;2.459;ST;0;ST
186010;295,50;EUR;784;ST;0;ST
186011;484,33;EUR;500;ST;0;ST
186012;1.348,37;EUR;695;ST;0;ST
186473;0,00;EUR;0;ST;0;ST
187255;571,67;EUR;507;ST;0;ST
187257;628,51;EUR;342;ST;0;ST
187259;1.547,68;EUR;633;ST;0;ST
187772;0,00;EUR;0;ST;0;ST
187776;0,00;EUR;0;ST;0;ST
187777;46,62;EUR;90;ST;0;ST
188172;0,00;EUR;0;ST;0;ST
188790;85,75;EUR;200;ST;0;ST
189235;0,00;EUR;0;ST;0;ST
189641;13.004,67;EUR;9.730;ST;0;ST
190036;198,11;EUR;54;ST;0;ST
190676;21,87;EUR;50;ST;0;ST
190697;0,00;EUR;0;ST;0;ST
191541;25,06;EUR;40;ST;0;ST
191665;0,00;EUR;0;ST;0;ST
194005;3.122,96;EUR;15.565;ST;0;ST
194280;2.067,63;EUR;1.676;ST;0;ST
194893;29,35;EUR;19;ST;0;ST
195649;238,94;EUR;555;ST;0;ST
195701;3.449,88;EUR;7.428;ST;0;ST
195906;443,78;EUR;1.500;ST;0;ST
197701;987,66;EUR;1.042;ST;0;ST
198020;315,54;EUR;86;ST;0;ST
198947;4.263,43;EUR;7.755;ST;0;ST
203385;0,00;EUR;0;ST;0;ST
203387;0,00;EUR;0;ST;0;ST
203722;0,00;EUR;0;ST;0;ST
804700;14,16;EUR;1;ST;0;ST
1001663;0,00;EUR;0;ST;0;ST
1002737;6.781,31;EUR;17.220;ST;0;ST
1002738;6.087,25;EUR;13.646;ST;0;ST
1002739;13.569,47;EUR;14.170;ST;0;ST
1002743;16.733,38;EUR;15.167;ST;0;ST
1002744;1.318,20;EUR;2.858;ST;0;ST
1002745;2.774,19;EUR;1.904;ST;0;ST
1002746;2.367,75;EUR;1.281;ST;0;ST
1002747;3.133,04;EUR;3.445;ST;0;ST
1002749;1.667,20;EUR;2.675;ST;0;ST
1002750;2.113,41;EUR;2.203;ST;0;ST
1002752;1.080,05;EUR;1.503;ST;0;ST
1002753;1.708,65;EUR;3.872;ST;0;ST
1002775;1.296,17;EUR;8.621;ST;0;ST
1003168;518,18;EUR;1.632;ST;0;ST
1003170;226,62;EUR;631;ST;0;ST
1003172;628,67;EUR;985;ST;0;ST
1003683;352,67;EUR;98;ST;0;ST
1004261;1.724,12;EUR;1.296;ST;0;ST
1004649;918,75;EUR;1.091;ST;0;ST
1010113;0,00;EUR;0;ST;0;ST
1010789;2.250,76;EUR;4.301;ST;0;ST
1016561;321,95;EUR;943;ST;0;ST
1017185;67,74;EUR;128;ST;0;ST
1017186;155,20;EUR;182;ST;0;ST
1017189;426,38;EUR;760;ST;0;ST
1018132;5,11;EUR;43;ST;0;ST
1018514;40,71;EUR;2;ST;0;ST
1019728;0,00;EUR;0;ST;0;ST
1019857;0,00;EUR;0;ST;0;ST
1019858;0,00;EUR;0;ST;0;ST
1019859;0,00;EUR;0;ST;0;ST
1019861;0,00;EUR;0;ST;0;ST
1019862;2.233,08;EUR;2.605;ST;0;ST
1019863;0,00;EUR;0;ST;0;ST
1019864;0,00;EUR;0;ST;0;ST
1019865;0,00;EUR;0;ST;0;ST
1019866;0,00;EUR;0;ST;0;ST
1021194;66,88;EUR;106;ST;0;ST
1021391;359,04;EUR;359;ST;0;ST
1021955;0,00;EUR;0;ST;0;ST
1021974;2.516,05;EUR;7.443;ST;0;ST
1025378;1.293,15;EUR;2.133;ST;0;ST
1025379;744,20;EUR;1.494;ST;0;ST
1025450;278,82;EUR;701;ST;0;ST
1025628;4.952,13;EUR;1.204;ST;0;ST
1025732;287,08;EUR;3.325;ST;0;ST
1025733;776,74;EUR;5.649;ST;0;ST
1026209;2.310,66;EUR;3.211;ST;0;ST
1026211;2.109,95;EUR;1.520;ST;0;ST
1026233;609,12;EUR;500;ST;0;ST
1026497;2.628,47;EUR;22.214;ST;0;ST
1026819;6.061,82;EUR;20.030;ST;0;ST
1026999;2.448,13;EUR;4.367;ST;0;ST
1027012;91,14;EUR;202;ST;0;ST
1027013;694,18;EUR;4.369;ST;0;ST
1029176;1.147,14;EUR;8.270;ST;0;ST
1029316;157,72;EUR;573;ST;0;ST
1029317;178,71;EUR;670;ST;0;ST
1029318;74,96;EUR;377;ST;0;ST
1029426;243,86;EUR;2.417;ST;0;ST
1029428;924,51;EUR;4.627;ST;0;ST
1029497;0,00;EUR;0;ST;0;ST
1029498;0,00;EUR;0;ST;0;ST
1029855;0,00;EUR;0;ST;0;ST
1031256;2.201,58;EUR;5.733;ST;0;ST
1032435;2.449,59;EUR;1.514;ST;0;ST
1032436;368,04;EUR;293;ST;0;ST
1033063;749,91;EUR;4.471;ST;0;ST
1033066;930,34;EUR;4.694;ST;0;ST
1033069;463,50;EUR;4.879;ST;0;ST
1033073;224,45;EUR;2.314;ST;0;ST
1033095;0,00;EUR;0;ST;0;ST
1033096;5.489,28;EUR;11.838;ST;0;ST
1033105;2.877,27;EUR;2.134;ST;0;ST
1033106;3.491,25;EUR;2.721;ST;0;ST
1033456;5.740,74;EUR;489;ST;0;ST
1033466;9.496,62;EUR;143.822;ST;0;ST
1034015;0,00;EUR;0;ST;0;ST
1034411;2.827,59;EUR;238;ST;0;ST
1034938;0,00;EUR;0;ST;0;ST
1035792;2.711,98;EUR;7.320;ST;0;ST
1036028;425,72;EUR;436;ST;0;ST
1036029;1.186,36;EUR;984;ST;0;ST
1036385;1.572,56;EUR;586;ST;0;ST
1036473;117,91;EUR;143;ST;0;ST
1037016;239,57;EUR;2.129;ST;0;ST
1037376;2.005,56;EUR;5.080;ST;0;ST
1037379;3.064,01;EUR;14.624;ST;0;ST
1037385;370,03;EUR;735;ST;0;ST
1037718;225,66;EUR;331;ST;0;ST
1037949;81,82;EUR;67;ST;0;ST
1037951;138,09;EUR;99;ST;0;ST
1037953;205,77;EUR;72;ST;0;ST
1037955;187,16;EUR;145;ST;0;ST
1037957;14,70;EUR;12;ST;0;ST
1037959;354,01;EUR;161;ST;0;ST
1037978;216,80;EUR;167;ST;0;ST
1038161;2.032,27;EUR;12.420;ST;0;ST
1038186;86,95;EUR;100;ST;0;ST
1038545;798,93;EUR;725;ST;0;ST
1038548;3.833,15;EUR;45.950;ST;0;ST
1038619;0,00;EUR;0;ST;0;ST
1038635;0,00;EUR;0;ST;0;ST
1038797;674,63;EUR;1.049;ST;0;ST
1039876;831,96;EUR;4.400;ST;0;ST
1039927;339,92;EUR;628;ST;0;ST
1039998;593,59;EUR;1.561;ST;0;ST
1040023;166,14;EUR;158;ST;0;ST
1040024;130,57;EUR;146;ST;0;ST
1040078;507,84;EUR;68;ST;0;ST
1040079;374,45;EUR;50;ST;0;ST
1040081;400,08;EUR;68;ST;0;ST
1040087;1.365,30;EUR;201;ST;0;ST
1040088;706,41;EUR;376;ST;0;ST
1040758;3.918,03;EUR;396;ST;0;ST
1040762;227,48;EUR;572;ST;0;ST
1040778;53,04;EUR;200;ST;0;ST
1041029;576,18;EUR;3.000;ST;0;ST
1856972;9,91;EUR;5;ST;0;ST
1856973;14,08;EUR;5;ST;0;ST
1856974;13,98;EUR;5;ST;0;ST
1856975;15,35;EUR;5;ST;0;ST
1856976;28,05;EUR;10;ST;0;ST
1856979;33,58;EUR;10;ST;0;ST
5110199;0,00;EUR;0;ST;0;ST
5112980;0,00;EUR;0;ST;0;ST
5141692;1.417,46;EUR;259;ST;0;ST
5143302;0,00;EUR;0;ST;0;ST
6262342;0,00;EUR;0;ST;0;ST
6286476;1.899,44;EUR;30.598;ST;0;ST
6286478;0,00;EUR;0;ST;0;ST
9000711;1.398,80;EUR;4.926;ST;0;ST
9001197;0,00;EUR;0;ST;0;ST
9001384;48,25;EUR;103;ST;0;ST
9003348;0,00;EUR;0;ST;0;ST
9003854;0,00;EUR;0;ST;0;ST
9006011;17,83;EUR;173;ST;0;ST
9006012;9,97;EUR;194;ST;0;ST
9007338;0,00;EUR;0;ST;0;ST
9007563;0,00;EUR;0;ST;0;ST
9009079;0,00;EUR;0;ST;0;ST
9010330;0,00;EUR;0;ST;0;ST
9011957;0,00;EUR;0;ST;0;ST
9024690;0,00;EUR;0;ST;0;ST
9031226;10,52;EUR;100;ST;0;ST
9044751;5,46;EUR;117;ST;0;ST
9045066;0,00;EUR;0;ST;0;ST
9049661;0,00;EUR;0;ST;0;ST
9049662;26,79;EUR;1.153;ST;0;ST
9049663;0,00;EUR;0;ST;0;ST
9049664;131,15;EUR;255;ST;0;ST
9049889;0,00;EUR;0;ST;0;ST
9050467;0,00;EUR;0;ST;0;ST
9051690;567,34;EUR;4.999;ST;0;ST
9051691;407,56;EUR;2.610;ST;0;ST
9051692;129,35;EUR;1.181;ST;0;ST
9051940;538,34;EUR;1.284;ST;0;ST
9051943;0,00;EUR;0;ST;0;ST
9053120;0,00;EUR;0;ST;0;ST
9053381;658,68;EUR;3.948;ST;0;ST
9057051;0,00;EUR;0;ST;0;ST
9200733;0,00;EUR;0;ST;0;ST
9403860;0,00;EUR;0;ST;0;ST
9425848;0,00;EUR;0;ST;0;ST
9447936;0,00;EUR;0;ST;0;ST
9500019;79,87;EUR;2.407;ST;0;ST
9500022;298,41;EUR;6.993;ST;0;ST
9500048;227,02;EUR;3.589;ST;0;ST
9500051;9,29;EUR;126;ST;0;ST
9500064;51,22;EUR;677;ST;0;ST
9500077;176,43;EUR;4.042;ST;0;ST
9500080;419,44;EUR;9.337;ST;0;ST
9500093;186,18;EUR;3.199;ST;0;ST
9500103;203,17;EUR;2.868;ST;0;ST
9500116;2,14;EUR;27;ST;0;ST
9500129;197,65;EUR;2.455;ST;0;ST
9500132;13,98;EUR;148;ST;0;ST
9500145;21,94;EUR;190;ST;0;ST
9500161;44,77;EUR;350;ST;0;ST
9500174;23,72;EUR;119;ST;0;ST
9500187;0,00;EUR;0;ST;0;ST
9500190;156,22;EUR;1.682;ST;0;ST
9500200;497,81;EUR;2.302;ST;0;ST
9500213;459,23;EUR;1.696;ST;0;ST
9500255;35,19;EUR;648;ST;0;ST
9500268;45,98;EUR;600;ST;0;ST
9500271;27,93;EUR;400;ST;0;ST
9500284;0,00;EUR;0;ST;0;ST
9500297;0,00;EUR;0;ST;0;ST
9500307;119,96;EUR;1.389;ST;0;ST
9500310;271,45;EUR;2.257;ST;0;ST
9500323;427,95;EUR;4.367;ST;0;ST
9500336;107,29;EUR;704;ST;0;ST
9500349;36,36;EUR;584;ST;0;ST
9500352;59,80;EUR;811;ST;0;ST
9500365;413,72;EUR;4.185;ST;0;ST
9500378;10,67;EUR;100;ST;0;ST
9500381;40,61;EUR;1.160;ST;0;ST
9500394;258,81;EUR;7.627;ST;0;ST
9500404;86,21;EUR;2.222;ST;0;ST
9500417;267,26;EUR;4.671;ST;0;ST
9500420;77,17;EUR;1.063;ST;0;ST
9500433;674,91;EUR;4.350;ST;0;ST
9500462;86,76;EUR;1.990;ST;0;ST
9500475;4,98;EUR;100;ST;0;ST
9500488;0,00;EUR;0;ST;0;ST
9500491;113,51;EUR;1.984;ST;0;ST
9500501;33,29;EUR;520;ST;0;ST
9500514;1.342,01;EUR;5.511;ST;0;ST
9500640;0,00;EUR;0;ST;0;ST
9500682;0,00;EUR;0;ST;0;ST
9500695;104,88;EUR;238;ST;0;ST
9500705;0,00;EUR;0;ST;0;ST
9500718;0,00;EUR;0;ST;0;ST
9500721;171,20;EUR;1.605;ST;0;ST
9500747;76,81;EUR;808;ST;0;ST
9500750;368,53;EUR;2.858;ST;0;ST
9500763;421,61;EUR;1.693;ST;0;ST
9500776;177,96;EUR;1.154;ST;0;ST
9500789;71,04;EUR;320;ST;0;ST
9500792;0,00;EUR;0;ST;0;ST
9500802;0,00;EUR;0;ST;0;ST
9500815;0,00;EUR;0;ST;0;ST
9500828;0,00;EUR;0;ST;0;ST
9500886;226,42;EUR;3.074;ST;0;ST
9500899;59,38;EUR;583;ST;0;ST
9500941;0,00;EUR;0;ST;0;ST
9500983;425,94;EUR;1.027;ST;0;ST
9500996;634,21;EUR;740;ST;0;ST
9501005;448,30;EUR;3.255;ST;0;ST
9501018;0,00;EUR;0;ST;0;ST
9501021;32,96;EUR;38;ST;0;ST
9501241;16,38;EUR;158;ST;0;ST
9501254;570,03;EUR;3.045;ST;0;ST
9501267;1.921,71;EUR;12.582;ST;0;ST
9501270;820,48;EUR;5.715;ST;0;ST
9501283;1.605,65;EUR;27.269;ST;0;ST
9501296;686,02;EUR;6.046;ST;0;ST
9501306;147,44;EUR;1.653;ST;0;ST
9501319;121,80;EUR;1.005;ST;0;ST
9501322;282,40;EUR;3.132;ST;0;ST
9501335;159,21;EUR;2.641;ST;0;ST
9501348;213,65;EUR;3.161;ST;0;ST
9501351;209,55;EUR;3.000;ST;0;ST
9501364;38,20;EUR;716;ST;0;ST
9501377;0,00;EUR;0;ST;0;ST
9501380;971,02;EUR;14.111;ST;0;ST
9501393;177,41;EUR;3.586;ST;0;ST
9501403;104,54;EUR;2.629;ST;0;ST
9501416;0,00;EUR;0;ST;0;ST
9501429;223,60;EUR;7.203;ST;0;ST
9501432;144,28;EUR;4.255;ST;0;ST
9501458;10,17;EUR;46;ST;0;ST
9501474;5,24;EUR;46;ST;0;ST
9501487;22,01;EUR;378;ST;0;ST
9501513;0,00;EUR;0;ST;0;ST
9501526;0,00;EUR;0;ST;0;ST
9501555;0,00;EUR;0;ST;0;ST
9501584;7,36;EUR;50;ST;0;ST
9501704;0,00;EUR;0;ST;0;ST
9501733;4,02;EUR;98;ST;0;ST
9501788;0,00;EUR;0;ST;0;ST
9501791;12,51;EUR;300;ST;0;ST
9501801;0,00;EUR;0;ST;0;ST
9501827;0,00;EUR;0;ST;0;ST
9501830;0,17;EUR;1;ST;0;ST
9501843;0,00;EUR;0;ST;0;ST
9501856;0,00;EUR;0;ST;0;ST
9501869;0,00;EUR;0;ST;0;ST
9501885;176,54;EUR;2.600;ST;0;ST
9501966;0,00;EUR;0;ST;0;ST
9502114;9.941,89;EUR;2.216;ST;0;ST
9502130;0,00;EUR;0;ST;0;ST
9502143;0,00;EUR;0;ST;0;ST
9502240;742,01;EUR;2.407;ST;0;ST
9502897;0,00;EUR;0;ST;0;ST
9502910;10,23;EUR;95;ST;0;ST
9502949;819,13;EUR;1.040;ST;0;ST
9502965;0,00;EUR;0;ST;0;ST
9503155;0,00;EUR;0;ST;0;ST
9503414;61,07;EUR;434;ST;0;ST
9503456;0,00;EUR;0;ST;0;ST
9503511;0,00;EUR;0;ST;0;ST
9503618;0,00;EUR;0;ST;0;ST
9503621;3,62;EUR;40;ST;0;ST
9503634;164,72;EUR;1.400;ST;0;ST
9503650;0,00;EUR;0;ST;0;ST
9503676;0,00;EUR;0;ST;0;ST
9503812;1.309,93;EUR;3.719;ST;0;ST
9504769;0,00;EUR;0;ST;0;ST
